,Pclass,Age,Sex,Fare
181,3,22.0,1,9.35
182,2,19.0,1,10.5
183,3,20.5,1,7.25
184,2,18.0,1,13.0
185,1,35.0,0,83.475
186,3,29.0,1,7.775
187,2,59.0,1,13.5
188,3,5.0,0,31.3875
189,2,24.0,1,10.5
190,2,44.0,1,26.0
191,2,8.0,0,26.25
192,2,19.0,1,10.5
193,2,33.0,1,12.275
194,2,29.0,1,10.5
195,3,22.0,1,7.125
196,3,30.0,1,7.225
197,1,44.0,1,90.0
198,3,25.0,0,7.775
199,2,24.0,0,14.5
200,1,37.0,1,52.5542
201,2,54.0,1,26.0
202,3,29.0,0,10.4625
203,1,62.0,1,26.55
204,3,30.0,1,16.1
205,3,41.0,0,20.2125
206,3,29.0,0,15.2458
207,1,30.0,0,86.5
208,1,35.0,0,512.3292
209,2,50.0,0,26.0
210,3,3.0,1,31.3875
211,1,52.0,1,79.65
212,1,40.0,1,0.0
213,2,36.0,1,10.5
214,3,16.0,1,39.6875
215,3,25.0,1,7.775
216,1,58.0,0,153.4625
217,1,35.0,0,135.6333
218,3,25.0,1,0.0
219,2,41.0,0,19.5
220,1,37.0,1,29.7
221,1,63.0,0,77.9583
222,3,45.0,0,7.75
223,3,7.0,1,29.125
224,3,35.0,0,20.25
225,3,65.0,1,7.75
226,3,28.0,1,7.8542
227,3,16.0,1,9.5
228,3,19.0,1,8.05
229,3,33.0,1,8.6625
230,3,30.0,1,9.5
231,3,22.0,1,7.8958
232,2,42.0,1,13.0
233,3,22.0,0,7.75
234,1,26.0,0,78.85
235,1,19.0,0,91.0792
236,2,36.0,1,12.875
237,3,24.0,0,8.85
238,3,24.0,1,7.8958
239,3,23.5,1,7.2292
240,1,2.0,0,151.55
241,1,50.0,0,247.5208
242,3,19.0,1,0.0
243,1,0.92,1,151.55
244,1,17.0,0,108.9
245,2,30.0,1,24.0
246,1,30.0,0,56.9292
247,1,24.0,0,83.1583
248,1,18.0,0,262.375
249,2,26.0,0,26.0
250,3,28.0,1,7.8958
251,2,43.0,1,26.25
252,3,26.0,0,7.8542
253,2,24.0,0,26.0
254,2,54.0,1,14.0
255,1,31.0,0,164.8667
256,1,40.0,0,134.5
257,3,22.0,1,7.25
258,3,27.0,1,7.8958
259,2,30.0,0,12.35
260,2,22.0,0,29.0
261,1,36.0,0,135.6333
262,3,61.0,1,6.2375
263,2,36.0,0,13.0
264,3,31.0,0,20.525
265,1,16.0,0,57.9792
266,1,45.5,1,28.5
267,1,38.0,1,153.4625
268,3,16.0,1,18.0
269,1,29.0,1,66.6
270,1,41.0,0,134.5
271,3,45.0,1,8.05
272,1,45.0,1,35.5
273,2,2.0,1,26.0
274,1,24.0,0,263.0
275,2,28.0,1,13.0
276,2,25.0,1,13.0
277,2,36.0,1,13.0
278,2,24.0,0,13.0
279,2,40.0,0,13.0
280,3,3.0,1,15.9
281,3,42.0,1,8.6625
282,3,23.0,1,9.225
283,3,15.0,1,7.2292
284,3,25.0,1,17.8
285,3,28.0,1,9.5
286,1,22.0,0,55.0
287,2,38.0,0,13.0
288,3,40.0,1,27.9
289,2,29.0,1,27.7208
290,3,45.0,0,14.4542
291,3,35.0,1,7.05
292,3,30.0,1,7.25
293,1,60.0,0,75.25
294,1,24.0,0,69.3
295,1,25.0,1,55.4417
296,3,18.0,1,6.4958
297,3,19.0,1,8.05
298,1,22.0,1,135.6333
299,3,3.0,0,21.075
300,3,22.0,0,7.25
301,1,27.0,1,211.5
302,3,20.0,1,4.0125
303,3,19.0,1,7.775
304,1,42.0,0,227.525
305,3,1.0,0,15.7417
306,3,32.0,1,7.925
307,1,35.0,0,52.0
308,2,18.0,1,73.5
309,3,1.0,1,46.9
310,2,36.0,0,13.0
311,2,17.0,0,12.0
312,1,36.0,1,120.0
313,3,21.0,1,7.7958
314,3,28.0,1,7.925
315,1,23.0,0,113.275
316,3,24.0,0,16.7
317,3,22.0,1,7.7958
318,3,31.0,0,7.8542
319,2,46.0,1,26.0
320,2,23.0,1,10.5
321,2,28.0,0,12.65
322,3,39.0,1,7.925
323,3,26.0,1,8.05
324,3,21.0,0,9.825
325,3,28.0,1,15.85
326,3,20.0,0,8.6625
327,2,34.0,1,21.0
328,3,51.0,1,7.75
329,2,3.0,1,18.75
330,3,21.0,1,7.775
331,1,33.0,0,90.0
332,3,44.0,1,7.925
333,2,34.0,0,32.5
334,2,18.0,0,13.0
335,2,30.0,1,13.0
336,3,10.0,0,24.15
337,3,21.0,1,7.7333
338,3,29.0,1,7.875
339,3,28.0,0,14.4
340,3,18.0,1,20.2125
341,2,28.0,0,26.0
342,2,19.0,0,26.0
343,3,32.0,1,8.05
344,1,28.0,1,26.55
345,2,42.0,0,26.0
346,3,17.0,1,7.125
347,1,50.0,1,55.9
348,1,14.0,0,120.0
349,3,21.0,0,34.375
350,2,24.0,0,18.75
351,1,64.0,1,263.0
352,2,31.0,1,10.5
353,2,45.0,0,26.25
354,3,20.0,1,9.5
355,3,25.0,1,7.775
356,2,28.0,0,13.0
357,1,4.0,1,81.8583
358,2,13.0,0,19.5
359,1,34.0,1,26.55
360,3,5.0,0,19.2583
361,1,52.0,1,30.5
362,2,36.0,1,27.75
363,1,30.0,1,27.75
364,1,49.0,1,89.1042
365,3,29.0,1,7.8958
366,1,65.0,1,26.55
367,2,50.0,0,10.5
368,1,48.0,1,26.55
369,3,34.0,1,8.05
370,1,47.0,1,38.5
371,2,48.0,1,13.0
372,3,38.0,1,7.05
373,1,56.0,1,26.55
374,3,0.75,0,19.2583
375,3,38.0,1,8.6625
376,2,33.0,0,27.75
377,2,23.0,0,13.7917
378,3,22.0,0,9.8375
379,2,34.0,1,21.0
380,3,29.0,1,7.0458
381,3,22.0,1,7.5208
382,3,2.0,0,12.2875
383,3,9.0,1,46.9
384,3,50.0,1,8.05
385,3,63.0,0,9.5875
386,1,25.0,1,91.0792
387,1,35.0,0,90.0
388,1,58.0,1,29.7
389,3,30.0,1,8.05
390,3,9.0,1,15.9
391,3,21.0,1,7.25
392,1,55.0,1,30.5
393,1,71.0,1,49.5042
394,3,21.0,1,8.05
395,1,54.0,0,78.2667
396,1,25.0,0,151.55
397,3,24.0,1,7.7958
398,3,17.0,1,8.6625
399,3,21.0,0,7.75
400,3,37.0,0,9.5875
401,1,16.0,0,86.5
402,1,18.0,1,108.9
403,2,33.0,0,26.0
404,3,28.0,1,22.525
405,3,26.0,1,56.4958
406,3,29.0,1,7.75
407,1,36.0,1,26.2875
408,1,54.0,0,59.4
409,3,24.0,1,7.4958
410,1,47.0,1,34.0208
411,2,34.0,0,10.5
412,2,36.0,0,26.0
413,3,32.0,1,7.8958
414,1,30.0,0,93.5
415,3,22.0,1,7.8958
416,1,44.0,0,57.9792
417,3,40.5,1,7.75
418,2,50.0,0,10.5
419,3,39.0,1,7.925
420,2,23.0,1,11.5
421,2,2.0,0,26.0
422,3,17.0,1,7.2292
423,3,30.0,0,8.6625
424,2,7.0,0,26.25
425,1,45.0,1,26.55
426,1,30.0,0,106.425
427,1,22.0,0,49.5
428,1,36.0,0,71.0
429,3,9.0,0,31.275
430,3,11.0,0,31.275
431,2,32.0,1,26.0
432,1,50.0,1,106.425
433,1,64.0,1,26.0
434,2,19.0,0,26.0
435,3,33.0,1,20.525
436,2,8.0,1,36.75
437,1,17.0,1,110.8833
438,2,27.0,1,26.0
439,3,22.0,1,7.225
440,3,22.0,0,7.775
441,1,62.0,1,26.55
442,1,48.0,0,39.6
443,1,39.0,0,79.65
444,3,36.0,0,17.4
445,3,40.0,1,7.8958
446,2,28.0,1,13.5
447,3,24.0,1,24.15
448,3,19.0,1,7.8958
449,3,29.0,0,21.075
450,3,32.0,1,7.8542
451,2,62.0,1,10.5
452,1,53.0,0,51.4792
453,1,36.0,1,26.3875
454,3,16.0,1,8.05
455,3,19.0,1,14.5
456,2,34.0,0,13.0
457,1,39.0,0,55.9
458,3,32.0,1,7.925
459,2,25.0,0,30.0
460,1,39.0,0,110.8833
461,2,54.0,1,26.0
462,1,36.0,1,40.125
463,1,18.0,0,79.65
464,2,47.0,1,15.0
465,1,60.0,1,79.2
466,3,22.0,1,8.05
467,3,35.0,1,7.125
468,1,52.0,0,78.2667
469,3,47.0,1,7.25
470,2,37.0,1,26.0
471,3,36.0,1,24.15
472,3,49.0,1,0.0
473,1,49.0,1,56.9292
474,2,24.0,0,27.0
475,3,44.0,1,8.05
476,1,35.0,1,26.55
477,3,36.0,1,15.55
478,3,30.0,1,7.8958
479,1,27.0,1,30.5
480,2,22.0,0,41.5792
481,1,40.0,0,153.4625
482,3,39.0,0,31.275
483,3,35.0,1,8.05
484,2,24.0,0,65.0
485,3,34.0,1,14.4
486,3,26.0,0,16.1
487,2,4.0,0,39.0
488,2,26.0,1,10.5
489,3,27.0,1,14.4542
490,1,42.0,1,52.5542
491,3,20.0,1,15.7417
492,3,21.0,1,7.8542
493,3,21.0,1,16.1
494,1,61.0,1,32.3208
495,2,57.0,1,12.35
496,1,21.0,0,77.9583
497,3,26.0,1,7.8958
498,1,80.0,1,30.0
499,3,51.0,1,7.0542
500,1,32.0,1,30.5
501,3,9.0,0,27.9
502,2,28.0,0,13.0
503,3,32.0,1,7.925
504,2,31.0,1,26.25
505,3,41.0,0,39.6875
506,3,20.0,1,7.8542
507,1,24.0,0,69.3
508,3,2.0,0,27.9
509,3,0.75,0,19.2583
510,1,48.0,1,76.7292
511,3,19.0,1,7.8958
512,1,56.0,1,35.5
513,3,23.0,0,7.55
514,2,18.0,0,23.0
515,3,21.0,1,8.4333
516,3,18.0,0,6.75
517,2,24.0,1,73.5
518,3,32.0,0,15.5
519,2,23.0,1,13.0
520,1,58.0,1,113.275
521,1,50.0,1,133.65
522,3,40.0,1,7.225
523,1,47.0,1,25.5875
524,3,36.0,1,7.4958
525,3,20.0,1,7.925
526,2,32.0,1,73.5
527,2,25.0,1,13.0
528,3,43.0,1,8.05
529,2,40.0,0,39.0
530,1,31.0,1,52.0
531,2,70.0,1,10.5
532,2,31.0,1,13.0
533,3,18.0,1,7.775
534,3,24.5,1,8.05
535,3,18.0,0,9.8417
536,3,43.0,0,46.9
537,1,36.0,1,512.3292
538,1,27.0,1,76.7292
539,3,20.0,1,9.225
540,3,14.0,1,46.9
541,2,60.0,1,39.0
542,2,25.0,1,41.5792
543,3,14.0,1,39.6875
544,3,19.0,1,10.1708
545,3,18.0,1,7.7958
546,1,15.0,0,211.3375
547,1,31.0,1,57.0
548,3,4.0,0,13.4167
549,3,25.0,1,7.225
550,1,60.0,1,26.55
551,2,52.0,1,13.5
552,3,44.0,1,8.05
553,1,49.0,1,110.8833
554,3,42.0,1,7.65
555,1,18.0,0,227.525
556,1,35.0,1,26.2875
557,3,18.0,0,14.4542
558,3,25.0,1,7.7417
559,3,26.0,1,7.8542
560,2,39.0,1,26.0
561,2,45.0,0,13.5
562,1,42.0,1,26.2875
563,1,22.0,0,151.55
564,1,24.0,0,49.5042
565,1,48.0,1,52.0
566,3,29.0,1,9.4833
567,2,52.0,1,13.0
568,3,19.0,1,7.65
569,1,38.0,0,227.525
570,2,27.0,0,10.5
571,3,33.0,1,7.775
572,2,6.0,0,33.0
573,3,17.0,1,7.0542
574,2,34.0,1,13.0
575,2,50.0,1,13.0
576,1,27.0,1,53.1
577,3,20.0,1,8.6625
578,2,30.0,0,21.0
579,2,25.0,1,26.0
580,3,25.0,0,7.925
581,1,29.0,0,211.3375
582,3,11.0,1,18.7875
583,2,23.0,1,13.0
584,2,23.0,1,13.0
585,3,28.5,1,16.1
586,3,48.0,0,34.375
587,1,35.0,1,512.3292
588,1,36.0,1,78.85
589,1,21.0,0,262.375
590,3,24.0,1,16.1
591,3,31.0,1,7.925
592,1,70.0,1,71.0
593,3,16.0,1,20.25
594,2,30.0,0,13.0
595,1,19.0,1,53.1
596,3,31.0,1,7.75
597,2,4.0,0,23.0
598,3,6.0,1,12.475
599,3,33.0,1,9.5
600,3,23.0,1,7.8958
601,2,48.0,0,65.0
602,2,0.67,1,14.5
603,3,28.0,1,7.7958
604,2,18.0,1,11.5
605,3,34.0,1,8.05
606,1,33.0,0,86.5
607,3,41.0,1,7.125
608,3,20.0,1,7.2292
609,1,36.0,0,120.0
610,3,16.0,1,7.775
611,1,51.0,0,77.9583
612,3,30.5,0,7.75
613,3,32.0,1,8.3625
614,3,24.0,1,9.5
615,3,48.0,1,7.8542
616,2,57.0,0,10.5
617,2,54.0,0,23.0
618,3,18.0,1,7.75
619,3,5.0,0,12.475
620,1,43.0,0,211.3375
621,3,13.0,0,7.2292
622,1,17.0,0,57.0
623,1,29.0,1,30.0
624,3,25.0,1,7.05
625,3,25.0,1,7.25
626,3,18.0,0,7.4958
627,3,8.0,1,29.125
628,3,1.0,1,20.575
629,1,46.0,1,79.2
630,2,16.0,1,26.0
631,3,25.0,1,7.8958
632,2,39.0,1,13.0
633,1,49.0,0,25.9292
634,3,31.0,0,8.6833
635,3,30.0,1,7.2292
636,3,30.0,0,24.15
637,2,34.0,1,13.0
638,2,31.0,0,26.25
639,1,11.0,1,120.0
640,3,0.42,1,8.5167
641,3,27.0,1,6.975
642,3,31.0,1,7.775
643,1,39.0,1,0.0
644,3,18.0,0,7.775
645,2,39.0,1,13.0
646,1,33.0,0,53.1
647,3,26.0,1,7.8875
648,3,39.0,1,24.15
649,2,35.0,1,10.5
650,3,6.0,0,31.275
651,3,30.5,1,8.05
652,3,23.0,0,7.925
653,2,31.0,1,37.0042
654,3,43.0,1,6.45
655,3,10.0,1,27.9
656,1,52.0,0,93.5
657,3,27.0,1,8.6625
658,1,38.0,1,0.0
659,3,27.0,0,12.475
660,3,2.0,1,39.6875
661,2,1.0,1,37.0042
662,1,62.0,0,80.0
663,3,15.0,0,14.4542
664,2,0.83,1,18.75
665,3,23.0,1,7.8542
666,3,18.0,1,8.3
667,1,39.0,0,83.1583
668,3,21.0,1,8.6625
669,3,32.0,1,56.4958
670,3,20.0,1,7.925
671,2,16.0,1,10.5
672,1,30.0,0,31.0
673,3,34.5,1,6.4375
674,3,17.0,1,8.6625
675,3,42.0,1,7.55
676,3,35.0,1,7.8958
677,2,28.0,1,33.0
678,3,4.0,1,31.275
679,3,74.0,1,7.775
680,3,9.0,0,15.2458
681,1,16.0,0,39.4
682,2,44.0,0,26.0
683,3,18.0,0,9.35
684,1,45.0,0,164.8667
685,1,51.0,1,26.55
686,3,24.0,0,19.2583
687,3,41.0,1,14.1083
688,2,21.0,1,11.5
689,1,48.0,0,25.9292
690,2,24.0,1,13.0
691,2,42.0,0,13.0
692,2,27.0,0,13.8583
693,1,31.0,1,50.4958
694,3,4.0,1,11.1333
695,3,26.0,1,7.8958
696,1,47.0,0,52.5542
697,1,33.0,1,5.0
698,3,47.0,1,9.0
699,2,28.0,0,24.0
700,3,15.0,0,7.225
701,3,20.0,1,9.8458
702,3,19.0,1,7.8958
703,1,56.0,0,83.1583
704,2,25.0,0,26.0
705,3,33.0,1,7.8958
706,3,22.0,0,10.5167
707,2,28.0,1,10.5
708,3,25.0,1,7.05
709,3,39.0,0,29.125
710,2,27.0,1,13.0
711,1,19.0,0,30.0
712,1,26.0,1,30.0
713,3,32.0,1,7.75
